Price,Close,High,Low,Open,Volume
Ticker,^STI,^STI,^STI,^STI,^STI
Date,,,,,
2021-02-24,2924.580078125,2935.760009765625,2896.570068359375,2897.719970703125,340839700
2021-02-25,2973.5400390625,2976.360107421875,2949.6201171875,2951.030029296875,395473900
2021-02-26,2949.0400390625,2951.2900390625,2921.10009765625,2923.22998046875,458484500
2021-03-01,2973.0,2981.5,2948.639892578125,2948.68994140625,294013300
2021-03-02,2973.8701171875,3000.06005859375,2970.919921875,2989.800048828125,274486200
2021-03-03,3000.3701171875,3000.43994140625,2980.679931640625,2991.1201171875,212020500
2021-03-04,3014.780029296875,3015.8701171875,2981.340087890625,2987.659912109375,263833700
2021-03-05,3013.85009765625,3028.43994140625,2992.22998046875,3005.89990234375,273989900
2021-03-08,3071.159912109375,3079.97998046875,3060.580078125,3075.159912109375,362244500
2021-03-09,3108.530029296875,3116.31005859375,3091.7900390625,3091.7900390625,379584300
2021-03-10,3079.719970703125,3108.2900390625,3072.530029296875,3106.93994140625,320414300
2021-03-11,3106.010009765625,3113.929931640625,3082.159912109375,3086.739990234375,406209100
2021-03-12,3095.219970703125,3115.25,3089.43994140625,3112.570068359375,332294700
2021-03-15,3106.0,3118.909912109375,3097.010009765625,3109.320068359375,259012200
2021-03-16,3105.510009765625,3114.800048828125,3099.429931640625,3111.81005859375,346740100
2021-03-17,3109.64990234375,3116.760009765625,3100.090087890625,3102.780029296875,313592000
2021-03-18,3137.659912109375,3147.669921875,3130.64990234375,3132.10009765625,345525500
2021-03-19,3134.5400390625,3148.97998046875,3127.840087890625,3131.739990234375,354890100
2021-03-22,3128.080078125,3149.010009765625,3123.9599609375,3130.68994140625,200179000
2021-03-23,3131.739990234375,3148.489990234375,3120.919921875,3124.409912109375,367222800
2021-03-24,3133.31005859375,3136.919921875,3121.60009765625,3127.1201171875,367641200
2021-03-25,3141.7099609375,3147.4599609375,3120.360107421875,3120.580078125,323327900
2021-03-26,3157.949951171875,3165.820068359375,3145.449951171875,3152.2900390625,301532700
2021-03-29,3175.570068359375,3183.929931640625,3160.8798828125,3165.97998046875,282374000
2021-03-30,3190.889892578125,3204.239990234375,3187.919921875,3201.6298828125,275395900
